PFBCOLO CB Equity	ECOPETL CB Equity	GRUPOSUR CB Equity	BCOLO CB Equity	ISA CB Equity	NUTRESA CB Equity	EEB CB Equity	GRUPOARG CB Equity	PFAVAL CB Equity	PFGRUPSU CB Equity	CEMARGOS CB Equity	PFDAVVND CB Equity	PFGRUPOA CB Equity	EXITO CB Equity	CELSIA CB Equity	BOGOTA CB Equity	CORFICOL CB Equity	PFCEMARG CB Equity	CLH CB Equity	PFAVH CB Equity	AVAL CB Equity	CNEC CB Equity	BVC CB Equity	CONCONC CB Equity	ETB CB Equity
0.0815	0.1853	-0.0045	0.0813	0.0070	-0.0284	0.0074	-0.0116	-0.0117	-0.0197	-0.0193	0.0628	-0.0569	0.0767	-0.0059	-0.0113	-0.0828	-0.0690	-0.0073	-0.0327	-0.0432	-0.0672	0.0380	0.0101	0.0344
-0.0728	-0.0580	-0.0433	-0.0753	-0.0429	-0.0015	0.0000	-0.0661	-0.0278	-0.0732	-0.0792	-0.0708	-0.0912	-0.0635	-0.0293	-0.0102	-0.1034	-0.0993	-0.1467	0.1494	0.0080	-0.0312	-0.0655	-0.0131	-0.0930
-0.0303	0.0410	-0.0301	0.0020	-0.0281	-0.0385	0.0000	-0.0262	-0.0624	0.0017	-0.0746	0.0140	-0.0085	-0.0180	-0.0066	0.0284	-0.0183	-0.0223	-0.0578	-0.1032	-0.0787	-0.0256	-0.1005	-0.0205	-0.0746
0.1287	0.1701	0.0446	0.0940	0.0835	0.0459	0.0147	0.0608	0.0583	0.0250	0.0245	0.1141	0.0121	0.0287	0.0252	0.0230	0.0362	-0.0216	-0.0273	-0.0237	0.0707	-0.0076	-0.0088	-0.0073	0.0320
0.0060	-0.0032	-0.0489	-0.0024	-0.0223	-0.0521	0.0048	-0.0294	0.0081	-0.0334	-0.0764	0.0205	0.0238	-0.0275	-0.0065	0.0069	0.0398	-0.0183	0.0273	-0.0473	-0.0040	0.0226	-0.0225	-0.1962	-0.0320
0.0642	-0.0213	0.0128	0.0643	0.0237	0.0447	-0.0146	0.0224	-0.0121	0.0124	0.0632	0.0711	0.0460	-0.0183	0.0097	-0.0272	0.0095	0.0599	-0.0698	-0.1677	-0.0245	0.0232	0.0251	0.0000	-0.0305
-0.0732	0.0148	-0.0407	-0.0541	-0.0209	-0.0022	-0.0148	-0.0234	-0.0716	-0.0272	-0.0632	-0.0358	-0.0227	0.0025	-0.0339	0.0059	-0.0638	-0.0723	-0.1284	0.0189	-0.0509	-0.0328	0.0585	-0.1168	-0.0026
0.0000	0.1080	-0.0028	-0.0199	-0.0491	-0.0097	0.0173	-0.0156	0.0469	0.0160	-0.0198	-0.0056	0.0171	-0.0237	0.0078	0.0073	0.0175	-0.0382	-0.1473	-0.1193	0.0384	0.0432	-0.0186	-0.5066	-0.1295
-0.0589	0.1641	-0.0351	-0.0278	-0.0104	-0.0976	-0.0198	-0.1585	-0.0296	-0.0387	-0.1582	-0.0373	-0.2008	-0.0841	-0.0417	-0.0366	-0.0945	-0.1694	-0.1542	-0.0071	-0.0427	-0.0562	0.0135	-0.1475	-0.0178
-0.0391	-0.0747	-0.1017	-0.0521	-0.1122	-0.0818	-0.0778	-0.0831	-0.0305	-0.1454	-0.0925	-0.0982	-0.1078	-0.0478	-0.0866	-0.0383	-0.1104	-0.1139	-0.0770	-0.0685	-0.0401	-0.0492	0.0884	-0.2831	-0.2778
0.0681	-0.1861	0.0283	0.0609	0.0788	0.0859	-0.0054	0.0757	-0.0878	0.0394	-0.0029	0.0479	0.0288	-0.0426	0.0050	-0.0749	-0.0521	0.0389	-0.1912	0.0494	-0.0854	0.1064	-0.1105	0.1166	0.1156
-0.0258	-0.1603	-0.0056	-0.0569	0.0773	-0.0335	-0.0415	0.0435	-0.0354	0.0162	-0.0057	-0.0505	0.0804	-0.0716	0.0000	-0.0625	-0.1312	-0.0303	-0.1099	-0.2231	-0.0879	-0.0072	0.0288	0.1747	-0.1235
